,NAME,Team,POWER,CONTACT,VISION,SPEED,BASERUNNING
152,정상호,Bears,23,33,12,8,51
153,최형우,Tigers,76,73,66,21,49
154,박경수,Wiz,56,58,70,8,38
155,이성열,Eagles,41,42,37,25,44
156,나주환,Tigers,36,57,31,12,50
157,지석훈,Dinos,29,42,60,31,50
158,윤석민,Landers,49,39,15,2,51
159,유한준,Wiz,42,57,53,14,50
160,최진행,Eagles,44,48,43,13,50
161,정의윤,Landers,17,49,34,26,39
162,오재일,Bears,55,64,65,22,48
163,이원석,Lions,45,55,60,13,38
164,정근우,Twins,15,49,55,59,62
165,이병규,Giants,61,56,82,16,50
166,최주환,Bears,54,63,47,38,48
167,김문호,Eagles,49,45,55,17,51
168,송광민,Eagles,45,48,27,17,50
169,김성현,Landers,16,56,44,26,43
170,이재원,Landers,20,38,43,15,50
171,이재원,Landers,0,38,52,19,51
172,이재원,Twins,20,20,43,15,50
173,이재원,Twins,0,20,52,19,51
174,이명기,Dinos,20,63,53,59,28
175,허도환,Wiz,6,54,55,2,51
176,채태인,Landers,53,58,87,2,50
177,김민성,Twins,38,55,41,27,48
178,이형종,Twins,81,61,48,39,55
179,김용의,Twins,28,56,23,98,51
180,김재환,Bears,74,54,84,43,73
181,최재훈,Eagles,27,62,42,19,50
182,장성우,Wiz,44,57,48,8,50
183,김선빈,Tigers,23,68,65,23,43
184,나지완,Tigers,50,60,66,23,49
185,백용환,Tigers,67,45,80,11,51
186,오선진,Eagles,16,48,41,17,39
187,모창민,Dinos,48,62,31,30,50
188,오지환,Twins,52,61,43,82,57
189,정주현,Twins,30,51,45,66,26
190,채은성,Twins,51,60,39,34,26
191,박건우,Bears,54,62,43,56,67
192,정수빈,Bears,32,61,56,75,55
193,국해성,Bears,38,48,36,32,44
194,장영석,Tigers,0,26,62,4,51
195,박동원,Heroes,59,51,58,17,50
196,이지영,Heroes,17,63,37,33,43
197,안치홍,Giants,41,59,43,47,73
198,김회성,Eagles,18,34,68,7,51
199,정보근,Giants,5,31,41,16,51
200,양우현,Lions,0,27,24,2,51
201,강현우,Wiz,54,41,36,5,51
202,안권수,Bears,0,55,28,64,49
203,김지찬,Lions,13,48,48,85,73
204,최지훈,Landers,22,53,42,75,71
205,최정원,Dinos,40,56,83,110,71
206,김규성,Tigers,27,37,41,64,49
207,변상권,Heroes,41,55,9,20,51
208,노태형,Eagles,19,44,35,57,39
209,조한민,Eagles,26,45,0,31,51
210,천성호,Wiz,14,42,52,43,44
211,양찬열,Bears,0,47,66,31,51
212,권민석,Bears,13,53,30,53,56
213,최인호,Eagles,0,48,17,12,50
214,박정현,Eagles,32,57,27,14,51
215,김호은,Twins,35,50,36,19,51
216,김수환,Heroes,29,37,47,19,51
217,이거연,Landers,0,26,105,19,51
218,홍종표,Tigers,12,51,26,27,27
219,박주홍,Heroes,27,51,23,19,39
220,임종찬,Eagles,24,47,43,9,39
221,정기훈,Eagles,21,33,47,46,39
222,팔카,Lions,51,43,47,31,61
223,김성민,Landers,95,59,36,31,51
224,김헌곤,Lions,22,51,44,39,27
225,신본기,Giants,21,44,65,49,56
226,송우현,Heroes,0,20,76,31,51
227,전병우,Heroes,39,49,53,68,73
228,김주형,Heroes,45,48,46,43,39
229,김태균,Eagles,25,45,67,6,50
230,박용택,Twins,31,61,36,35,60
231,이택근,Heroes,28,40,62,15,51
232,이용규,Eagles,16,59,69,56,42
233,김재호,Bears,18,59,56,43,56
234,박석민,Dinos,52,63,95,15,38
235,강민호,Lions,65,59,45,12,50
236,최정,Landers,86,55,77,39,45
237,양의지,Dinos,89,67,50,40,46
238,민병헌,Giants,19,48,35,56,42
239,오재원,Bears,50,48,52,80,54
240,손아섭,Giants,45,72,57,41,73
241,김태군,Dinos,26,60,26,23,50
242,서건창,Heroes,35,57,87,68,54
243,전준우,Giants,66,57,47,38,26
244,허경민,Bears,35,68,41,56,55
245,김상수,Lions,31,62,67,63,65
246,남태혁,Landers,20,40,47,2,51
247,이학주,Lions,36,47,61,51,57
248,로하스,Wiz,95,72,59,26,38
249,김동엽,Lions,62,64,37,29,26
250,라모스,Twins,95,57,63,39,60
251,손호영,Twins,22,75,18,88,73
