,Name,ERA,K/9,BB/9,HR/9
0,채드벨,5.961038961038961,7.12987012987013,4.090909090909091,1.1688311688311688
1,요키시,2.141962558178517,6.482255110277092,1.4091858935384982,0.3382046144492395
2,뷰캐넌,3.4522902773960653,6.234733187536178,2.576336027907512,0.8244275289304037
3,킹험,6.750000402331376,5.062500301748532,3.375000201165688,0.843750050291422
4,루친스키,3.0491803278688523,8.21311475409836,2.80327868852459,0.6885245901639344
5,가뇽,4.340292552098574,7.94780843955713,3.6075158874585553,0.3945720501907794
6,라이트,4.680761401364697,7.135307014275453,3.596194735194828,0.6849894733704435
7,윌슨,4.417051001838016,6.781106467610476,2.42626745171384,0.8087558172379467
8,알칸타라,2.536912686727826,8.244966231865435,1.359060367889907,0.5436241471559627
9,서폴드,4.909090909090909,5.290909090909091,2.290909090909091,1.0363636363636364
10,쿠에바스,4.10126582278481,6.265822784810126,2.6202531645569622,0.9113924050632912
11,샘슨,5.4,6.023076923076923,2.4923076923076923,0.9692307692307692
12,플렉센,3.008571494153083,10.182857364825818,2.3142857647331403,0.4628571529466281
13,라이블리,4.258928571428571,7.633928571428571,3.133928571428572,0.8839285714285714
14,데스파이네,4.333868591106217,6.58748025848145,2.947030641952228,0.7800963463991191
15,핀토,6.166666666666667,6.222222222222222,5.0,1.0555555555555556
16,오승환,2.6433569959303043,7.363637345805848,2.8321682099253263,0.3776224279900435
17,양현종,4.700193562319656,7.781431564284763,3.342359866538422,0.678916847890617
18,브리검,3.616822429906542,8.83177570093458,3.532710280373832,0.5046728971962616
19,켈리,3.323077020588714,6.95769251185762,2.0769231378679462,0.8307692551471785
20,스트레일리,2.4965754729271183,9.477740221297394,2.357876835542278,0.4623287912827997
21,신정락,9.000003576280108,10.500004172326792,5.250002086163396,1.500000596046685
22,이승현,3.478528665668339,8.613499553083507,4.14110555436707,1.822086443921511
23,이재학,6.5514707719991,6.055147228665835,4.26838247266608,1.3897059213331424
24,문성현,4.200000534057685,7.800000991821415,6.6000008392335054,0.600000076293955
25,김건태,4.885715350715714,9.514287788235864,6.428572829889097,1.0285716527822557
26,박시영,8.010991361720306,6.230771059115794,6.824177826650631,1.4835169188370938
27,이태양,5.464286737904448,7.232144211932359,2.571429053131505,1.2857145265657526
28,박종훈,4.805084901101222,7.665254485090045,4.461864551022564,0.8008474835168704
29,임찬규,4.083521726002694,8.410835793856295,3.96162555507724,0.8532731964781748
30,송윤준,4.3043488969426935,6.260871122825736,5.08695778729591,0.3913044451766085
31,이현호,6.456523479271043,8.804350199005968,5.869566799337313,2.347826719734925
32,양현,3.3000006294251687,4.950000944137753,2.700000514984229,0.6000001144409398
33,강동연,6.000001430511816,6.375001519918804,4.125000983476873,1.1250002682209654
34,김대우,5.098712613305108,4.287553788461113,3.0128756351348365,1.0429184890851355
35,김대우,5.098712613305108,7.844596009954815,4.743244099042446,0.1824324653477864
36,김대우,3.101351910912369,4.287553788461113,3.0128756351348365,1.0429184890851355
37,김대우,3.101351910912369,7.844596009954815,4.743244099042446,0.1824324653477864
38,임현준,1.776316814806254,6.394740533302515,2.4868435407287555,0.7105267259225017
39,홍건희,4.980583400458592,7.86407905335567,2.8834956528970794,1.0485438737807562
40,서진용,4.131148316020337,8.262296632040673,5.01639438373898,1.6229511241508467
41,최성훈,3.5100009372713683,6.4800017303471416,4.320001153564761,0.2700000720977976
42,윤명준,4.829269191326828,4.390244719388026,2.8536590676022167,0.8780489438776051
43,김태훈,4.21875075437142,5.625001005828561,3.0937505532057084,0.140625025145714
44,김태훈,4.21875075437142,6.2419358679208985,5.661290670905001,1.161290394031795
45,김태훈,7.403226261952693,5.625001005828561,3.0937505532057084,0.140625025145714
46,김태훈,7.403226261952693,6.2419358679208985,5.661290670905001,1.161290394031795
47,한현희,4.975430348496522,7.230958773148278,2.4545456385916173,0.6633907131328696
48,김원중,3.943820562797337,8.646068156901855,3.4887643440130294,1.2134832500914885
49,홍성민,1.0384618431859656,4.846155268201173,2.076923686371931,0.6923078954573104
50,임기영,5.146214201729761,7.4725850052514335,2.326370803521673,0.8459530194624265
51,문승원,3.645309179052649,7.228833456765423,2.780320560294393,0.8032037174183803
52,노성호,4.458716688629179,8.422020411855117,7.183487998347011,0.7431194481048632
53,이형범,7.714287625173501,4.558442687602523,5.610391000126183,1.753247187539432
54,함덕주,3.9036150857696894,8.94578457155554,3.415663200048479,0.3253012571474741
55,박종기,5.5384619447606855,6.9230774309508565,4.8461542016656,1.0384616146426284
56,조상우,2.1533744347109587,10.601227986269334,2.9815953711382503,0.4969325618563751
57,조성운,5.400000915527499,5.800000983344351,3.800000644260092,1.2000002034505552
58,박진형,5.695314367069543,10.546878457536192,2.74218839895941,1.476562984055067
59,구승민,3.580111251770199,8.651935525111314,3.8784538560843824,1.193370417256733
60,고영창,6.8275875540610125,3.568966221440984,2.6379315549781186,0.4655173332314327
61,박준표,1.56774224415288,7.664517638080747,1.3935486614692267,0.52258074805096
62,김종수,5.9400013595584165,7.740001771545816,4.680001071167237,1.0800002471924397
63,김정빈,5.133804196049917,7.985917638299871,8.556340326749863,0.9507044807499848
64,손정욱,5.250001251697839,3.750000894069885,3.750000894069885,0.750000178813977
65,장현식,10.756099562500664,5.707318135204433,4.829269191326828,1.7560978877552105
66,임정호,4.609758670951288,8.341468071245187,4.3902463532869405,0.658536952993041
67,이상민,6.4285727423067245,8.357144564998743,7.0714300165373984,2.57142909692269
68,박진우,5.23255999633789,4.604652796777343,2.7209311980957023,0.4186047997070311
69,박세웅,4.703620071881327,6.597285295625757,2.8710408230963944,1.2217194991899551
70,조현우,3.085715210584022,6.364287621829546,4.435715615214532,0.1928572006615014
