Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Jeong-bin Kim 김정빈","Wyverns (KBO)",26,1,1,5.133804196049917,57,0,0,0,1,1,12,47.1,226,37,30,27,5,45,1,8,6,0,42,"kr3012402"
"Jung-wook Son 손정욱","Dinos (KBO)",29,0,0,5.250001251697839,16,0,0,0,0,0,0,12,58,16,8,7,1,5,0,1,0,0,5,"kr3012407"
"Hyun-sik Jang 장현식","- - -",25,4,4,10.756099562500664,37,3,0,0,0,3,7,41,207,64,52,49,8,22,0,3,11,0,26,"kr3012411"
"Jung-ho Lim 임정호","Dinos (KBO)",30,2,2,4.609758670951288,69,0,0,0,0,0,26,41,175,32,23,21,3,20,0,7,0,0,38,"kr3012412"
"Sang-min Lee 이상민","Lions (KBO)",29,0,1,6.4285727423067245,17,1,0,0,0,0,1,14,69,17,10,10,4,11,1,1,2,0,13,"kr3012413"
"Jin-woo Park 박진우","Dinos (KBO)",30,2,2,5.23255999633789,43,1,0,0,0,2,9,43,194,47,29,25,2,13,1,6,0,0,22,"kr3012417"
"Se-woong Park 박세웅","Giants (KBO)",24,8,10,4.703620071881327,28,28,0,0,0,0,0,147.1,658,177,85,77,20,47,0,8,13,0,108,"kr3012427"
"Hyun-woo Jo 조현우","Wiz (KBO)",26,5,1,3.085715210584022,54,0,0,0,1,2,11,46.2,197,38,16,16,1,23,1,1,3,0,33,"kr3012431"
"Young-jun Lee 이영준","Heroes (KBO)",28,2,3,4.72500135183373,52,0,0,0,0,2,29,40,175,41,21,21,5,18,0,2,3,1,32,"kr3012432"
"Dong-wook Moon 문동욱","Eagles (KBO)",28,0,1,4.500000476837209,19,0,0,0,1,0,1,18,83,12,10,9,2,17,1,2,1,0,9,"kr3012465"
"In-bok Lee 이인복","Giants (KBO)",29,1,4,3.9705893490144364,47,1,0,0,0,1,2,45.1,199,57,22,20,2,12,1,1,2,0,21,"kr3012467"
"Young-kuk Hwang 황영국","Eagles (KBO)",24,0,0,10.241380994300348,21,0,0,0,0,1,5,19.1,101,29,22,22,3,14,1,2,3,0,17,"kr3012481"
"Yeong-u Jo 조영우","Wyverns (KBO)",25,2,4,5.961039551676916,35,7,0,0,0,0,0,77,340,96,52,51,12,25,0,2,4,0,38,"kr3012483"
"Seung-jin Lee 이승진","Bears (KBO)",25,2,4,5.610390583205138,33,5,0,0,0,2,5,51.1,228,55,33,32,3,22,1,2,0,0,54,"kr3012489"
"Geun-wook Lee 이건욱","Wyverns (KBO)",25,6,12,5.680327868852459,27,25,0,0,0,0,0,122,542,105,77,77,11,81,0,6,6,1,91,"kr3012490"
"Min-ho Park 박민호","Wyverns (KBO)",28,2,1,2.4230774563446316,57,0,0,0,4,4,11,52,215,43,16,14,4,19,0,2,0,0,36,"kr3012493"
"Jae-whan Bae 배재환","Dinos (KBO)",25,1,3,3.9767448916315287,53,0,0,0,0,5,12,43,209,38,22,19,4,35,3,9,5,2,33,"kr3012500"
"Seong-moo Hong 홍성무","Dinos (KBO)",27,0,0,12.600000801086477,11,0,0,0,1,0,0,15,82,21,22,21,3,13,0,1,1,0,12,"kr3012502"
"Min-su Kim 김민수","Wiz (KBO)",27,3,8,6.0967744936432124,33,18,0,0,0,2,0,103.1,482,151,80,70,14,30,0,4,6,0,63,"kr3012504"
"Kwon Ju 주권","Wiz (KBO)",25,6,2,2.700000588553421,77,0,0,0,0,6,31,70,294,54,25,21,6,32,1,1,0,0,37,"kr3012508"
"Sang-kyu Lee 이상규","Twins (KBO)",23,2,3,6.677421409059773,28,0,0,0,4,1,2,31,152,45,23,23,4,21,0,1,2,0,18,"kr3012514"
"Won-tae Choi 최원태","Heroes (KBO)",23,7,6,5.072727272727272,21,21,0,0,0,0,0,110,478,115,68,62,16,37,2,7,6,0,67,"kr3012525"
"Taek-hyeong Kim 김택형","Wyverns (KBO)",23,1,3,8.608697793885387,31,0,0,0,0,1,3,23,114,26,26,22,5,20,1,0,6,0,22,"kr3012526"
"Gyu-bin Lim 임규빈","Heroes (KBO)",28,2,0,4.539823775135104,33,0,0,0,0,0,1,37.2,162,46,20,19,11,10,0,2,2,0,20,"kr3012532"
"Joung-woo Hong 홍정우","Lions (KBO)",24,0,0,6.600000419616726,30,0,0,0,0,0,0,30,139,37,23,22,5,12,0,1,1,0,29,"kr3012538"
"Je-seong Bae 배제성","Wiz (KBO)",23,10,7,3.948113349630728,26,26,0,0,0,0,0,141.1,619,130,67,62,12,76,0,4,11,1,83,"kr3012544"
"Min-woo Lee 이민우","Tigers (KBO)",27,6,10,6.79245331907836,22,22,0,0,0,0,0,106,486,129,87,80,11,47,0,6,4,0,67,"kr3012546"
"Jung-soo Park 박정수","- - -",24,1,1,4.63636444028758,22,3,0,0,0,0,1,33,144,25,17,17,4,24,0,6,1,0,29,"kr3012548"
"Kyeong-chan Moon 문경찬","- - -",27,0,5,5.019231505648027,56,0,0,0,10,3,14,52,225,51,35,29,11,15,0,2,0,0,44,"kr3012549"
"Jun-young Lee 이준영","Tigers (KBO)",27,0,2,5.32394723754348,48,0,0,0,0,2,13,23.2,113,31,14,14,1,13,0,0,3,0,22,"kr3012552"
"Min-woo Kim 김민우","Eagles (KBO)",24,5,10,4.341708875624221,26,25,0,0,0,0,0,132.2,593,121,72,64,15,72,3,7,10,2,124,"kr3012556"
"Beom-su Kim 김범수","Eagles (KBO)",24,3,6,5.236364362732539,24,8,0,0,0,2,0,55,259,55,34,32,9,42,3,3,1,0,55,"kr3012557"
"Chang-mo Koo 구창모","Dinos (KBO)",23,9,0,1.735714238419826,15,14,0,0,0,0,1,93.1,348,58,20,18,7,18,0,0,1,0,102,"kr3012564"
"Dae-hyun Kim 김대현","Twins (KBO)",23,4,0,5.845361744259194,33,0,0,0,0,2,4,32.1,158,37,24,21,6,23,1,1,3,0,28,"kr3012572"
"Young-ha Lee 이영하","Bears (KBO)",23,5,11,4.5681823462494755,42,19,0,0,6,2,0,132,605,148,78,67,9,66,3,5,4,1,85,"kr3012579"
"Sang-hyun Jeon 전상현","Tigers (KBO)",24,2,2,2.4545457819352827,47,0,0,0,15,2,13,47.2,198,35,21,13,4,22,0,0,2,0,64,"kr3012596"
"Jae-hyeon Nam 남재현","Tigers (KBO)",23,0,0,4.021277003722191,8,0,0,0,0,0,0,15.2,79,20,12,7,1,11,0,1,0,0,8,"kr3012600"
"Ju-han Kim 김주한","Wyverns (KBO)",27,1,7,7.434783225248853,22,7,0,0,0,0,0,46,220,60,43,38,7,20,0,8,4,0,22,"kr3012615"
"Sung-young Choi 최성영","Dinos (KBO)",23,2,4,6.082417837391018,14,13,0,0,0,0,0,60.2,278,67,45,41,13,35,0,3,2,0,27,"kr3012618"
"Woo-suk Go 고우석","Twins (KBO)",21,0,4,4.104000626220799,40,0,0,0,16,4,1,41.2,183,37,22,19,2,19,1,2,5,0,51,"kr3012630"
"Myeong-sin Kim 김명신","Bears (KBO)",26,0,2,3.521739860563664,16,0,0,0,0,0,0,15.1,72,20,6,6,3,4,0,3,0,0,11,"kr3012636"
"Won-joon Choi 최원준","Bears (KBO)",25,10,2,3.804878284787948,42,18,0,0,0,0,0,123,532,134,52,52,15,35,0,7,2,1,94,"kr3012637"
"Chi-guk Park 박치국","Bears (KBO)",22,4,4,2.888372503005272,63,0,0,0,0,3,9,71.2,317,65,34,23,5,34,4,5,1,0,66,"kr3012638"
"Ji-guang Choi 최지광","Lions (KBO)",22,1,3,4.872181429332934,51,0,0,0,0,6,18,44.1,199,34,24,24,2,31,4,3,5,0,45,"kr3012642"
"Ji-hoon Jang 장지훈","Lions (KBO)",23,0,1,10.08433827635416,29,0,0,0,0,1,0,27.2,146,39,37,31,7,21,0,3,5,0,24,"kr3012643"
"Dong-ho Kang 강동호","Giants (KBO)",26,1,0,7.363637002046499,7,0,0,0,0,0,0,11,51,13,9,9,3,6,0,0,0,0,8,"kr3012650"
"Seung-ho Lee 이승호","Heroes (KBO)",21,6,6,5.081460783057498,24,23,0,0,0,0,0,118.2,517,132,71,67,15,40,0,5,3,1,73,"kr3012651"
"Jin-tae Park 박진태","Tigers (KBO)",25,0,0,13.017858916399671,12,0,0,0,0,0,0,18.2,105,32,27,27,9,16,0,4,0,0,14,"kr3012656"
"Sang-won Park 박상원","Eagles (KBO)",25,1,0,4.655173026140545,62,0,0,0,1,4,10,58,256,62,35,30,8,20,4,4,2,1,52,"kr3012657"
"Won-joon Lee 이원준","Wyverns (KBO)",21,0,1,7.448277086763889,17,0,0,0,0,0,0,19.1,100,28,17,16,3,16,2,0,7,0,17,"kr3012660"
"Rhee-hyun So 소이현","Dinos (KBO)",21,0,0,6.567568244683368,13,0,0,0,0,0,1,12.1,59,8,9,9,1,14,0,1,1,0,8,"kr3012662"
"Min Kim 김민","Wiz (KBO)",21,3,3,6.5390634743963885,24,6,0,0,0,0,1,42.2,207,46,35,31,6,29,0,5,5,0,32,"kr3012664"
