Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Kang-ryul Kim 김강률","Bears (KBO)",31,2,2,3.5357152491202353,30,0,0,0,0,1,0,28,141,36,22,11,1,20,0,4,0,0,28,"kr3013163"
"Jung-hyun Baek 백정현","Lions (KBO)",32,4,4,5.186440677966102,11,11,0,0,0,0,0,59,258,67,43,34,13,17,0,1,1,0,46,"kr3013166"
"Pill-joon Jang 장필준","Lions (KBO)",32,0,3,5.750000609291989,31,2,0,0,0,1,4,36,170,46,24,23,6,16,0,0,5,0,26,"kr3013192"
"Chan-heon Jeong 정찬헌","Twins (KBO)",30,7,4,3.5075530317855343,19,19,1,1,0,0,0,110.1,470,116,51,43,10,31,0,4,5,0,85,"kr3013196"
"Sang-sam Hong 홍상삼","Tigers (KBO)",30,4,5,5.0625016093259205,57,0,0,0,0,1,18,48,229,32,27,27,5,54,0,3,7,0,61,"kr3013203"
"Chang-min Lim 임창민","Dinos (KBO)",34,7,2,5.256638587786538,44,0,0,0,0,2,12,37.2,179,39,26,22,4,23,1,2,3,0,44,"kr3013206"
"Dae-woo Kim 김대우","Giants (KBO)",35,0,1,3.101351910912369,46,1,0,0,0,0,0,49.1,216,48,22,17,1,26,1,2,5,1,43,"kr3013215"
"Dong-hwan Choi 최동환","Twins (KBO)",30,4,1,3.4736849079503327,54,0,0,0,0,3,3,57,228,54,23,22,6,12,0,2,3,0,42,"kr3013250"
"Hee-kwan Yoo 유희관","Bears (KBO)",34,10,11,5.017115101601714,27,27,0,0,0,0,0,136.1,622,190,91,76,14,39,4,3,1,0,56,"kr3013257"
"Hyoun-taek Oh 오현택","Giants (KBO)",34,3,1,3.7500015894578675,48,0,0,0,0,1,7,36,152,37,15,15,5,8,1,2,1,0,17,"kr3013263"
"Yoon-goo Kang 강윤구","Dinos (KBO)",29,1,1,6.857145971182855,30,0,0,0,0,1,4,21,103,31,16,16,3,11,0,0,2,0,15,"kr3013269"
"Min-je Jang 장민재","Eagles (KBO)",30,2,7,6.75000059881881,24,10,0,0,0,0,0,57.1,267,86,44,43,5,13,0,2,1,0,32,"kr3013300"
"Geon-wook Yeo 여건욱","Twins (KBO)",33,1,3,7.156628150624689,25,0,0,0,1,1,3,27.2,124,36,24,22,8,4,0,3,2,0,18,"kr3013304"
"Tae-hoon Kim 김태훈","Wyverns (KBO)",30,1,6,7.403226261952693,33,8,0,0,0,2,5,62,281,61,52,51,8,39,0,4,10,0,43,"kr3013306"
