Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Ju-hyeon Jung 정주현","Twins (KBO)",29,371,0.07816712,0.16981132,0.46031746,0.24695122,0.3121547,0.33841463,0.65056933,0.09146341,5.646118472801708,0.29277567,-1.8698520728503354,35.21703703163745,-13.488093590153433,0.30337925988007647,72.30662680099907,"kr3013251"
"Eun-seong Chae 채은성","Twins (KBO)",30,464,0.06896552,0.1487069,0.46376812,0.29326923,0.3512931,0.45192308,0.80321618,0.15865385,2.9181096893157816,0.31563422,-1.4304175600409508,66.48277215909447,5.568538712973255,0.3610128738452755,109.14160516835302,"kr3013253"
"Kun-woo Park 박건우","Bears (KBO)",29,551,0.07622505,0.11796733,0.64615385,0.30390144,0.36861314,0.47227926,0.8408924,0.16837782,4.741747854640474,0.32289157,0.6261958848917857,86.56891319709824,14.233260979829298,0.3774965248265109,119.6766885257051,"kr3013255"
"Soo-bin Jung 정수빈","Bears (KBO)",29,559,0.09838998,0.10017889,0.98214286,0.29795918,0.36775362,0.39591837,0.76367199,0.09795919,6.3786054657479125,0.32488479,0.1677893615560606,75.55531612222164,2.169418500709226,0.35133488625559434,102.95617900853105,"kr3013258"
"Hae-seong Kook 국해성","Bears (KBO)",30,94,0.06382979,0.22340426,0.28571429,0.23255814,0.28723404,0.34883721,0.63607125,0.11627907,2.727520080547845,0.26984127,-0.2695942674181424,7.244987735132545,-5.095395764728219,0.2821047325497088,58.7095833384294,"kr3013261"
"Young-suk Jang 장영석","Tigers (KBO)",30,37,0.10810811,0.18918919,0.57142857,0.12903226,0.24324324,0.12903226,0.3722755,0,0.299107142857143,0.16,-0.002995580609422177,0.36126647277494284,-4.496118521851102,0.20188214488931605,7.437468373921956,"kr3013265"
"Dong-won Park 박동원","Heroes (KBO)",30,372,0.10215054,0.1827957,0.55882353,0.25,0.33783784,0.43209877,0.76993661,0.18209877,1.445427205357143,0.2804878,-0.02995580609422177,49.834717533140065,0.9983062358187429,0.349907939498489,102.0441842659997,"kr3013271"
"Ji-young Lee 이지영","Heroes (KBO)",34,289,0.06574394,0.09688581,0.67857143,0.30916031,0.36363636,0.36259542,0.72623178,0.05343511,2.814243085734991,0.34468085,-0.29289322771364823,36.1472302140113,-1.792885014284028,0.33931569362941544,95.2744344515145,"kr3013276"
"Chi-hong An 안치홍","Giants (KBO)",29,460,0.07608696,0.10217391,0.74468085,0.28640777,0.35087719,0.41262136,0.76349855,0.12621359,4.043299340547202,0.30640669,1.1715795324416831,61.18698756886745,0.7978768248679656,0.34877676795757817,101.32122631884796,"kr3013286"
"Hea-sung Kim 김회성","Eagles (KBO)",34,25,0.12,0.24,0.5,0.16666667,0.30434783,0.22222222,0.52657005,0.05555555,0.559523830357143,0.23076923,-0.0019970537396147847,1.6212956932639206,-1.6607211949969207,0.2675375679264898,49.399370827828186,"kr3013293"
"Bo-keun Jeong 정보근","Giants (KBO)",20,152,0.07236842,0.21052632,0.34375,0.15037594,0.21917808,0.16541353,0.38459161,0.01503759,1.332373267857143,0.19607843,-0.009985268698073924,0.4273545591227268,-19.52730812150319,0.19359604136584557,2.1416275782884946,"kr3014210"
"Woo-hyun Yang 양우현","Lions (KBO)",20,24,0.04166667,0.20833333,0.2,0.13043478,0.16666667,0.13043478,0.29710145,0,0.142857142857143,0.16666667,-0.0013313691597431898,-0.8671540195426455,-4.017890232273054,0.14718261857827505,-27.522266574997573,"kr3014212"
"Hyeon-woo Kang 강현우","Wiz (KBO)",19,32,0.0625,0.34375,0.18181818,0.2,0.25,0.36666667,0.61666667,0.16666667,0.41071426785714293,0.27777778,-0.0016642114496789873,2.330878218246837,-1.8701033987270401,0.2770580518990755,55.4841327757548,"kr3014272"
"Gweon-su An 안권수","Bears (KBO)",27,41,0.04878049,0.12195122,0.4,0.27027027,0.3,0.27027027,0.57027027,0,5.455335758799664,0.3030303,-0.06659868382848799,2.7280530826235956,-2.6544546141241843,0.26954705715179444,50.68368196244179,"kr3014276"
"Ji-chan Kim 김지찬","Lions (KBO)",19,287,0.08362369,0.1533101,0.54545455,0.23228346,0.30141844,0.27165354,0.57307198,0.03937008,7.255377520780555,0.27488152,2.323620034730993,20.621523029207257,-17.056030848027202,0.2758805853255252,54.731586600337124,"kr3014279"
"Ji-hoon Choi 최지훈","Wyverns (KBO)",22,520,0.07307692,0.15384615,0.475,0.25751073,0.31835938,0.32618026,0.64453964,0.06866953,6.405426656380959,0.30670103,0.7784403237747028,49.04030694795223,-19.22564432787327,0.30264468025416136,71.83713993789829,"kr3014282"
"Jeong-won Choi 최정원","Dinos (KBO)",20,48,0.14583333,0.27083333,0.53846154,0.275,0.38297872,0.4,0.78297872,0.125,9.409008870755306,0.40740741,0.7953402198618278,7.06456719198837,0.7630947665275549,0.36565701758607905,112.10978506300057,"kr3014290"
"Kyu-sung Kim 김규성","Tigers (KBO)",23,182,0.07142857,0.21978022,0.325,0.17834395,0.24561404,0.2611465,0.50676054,0.08280255,5.4710814876913885,0.21929825,-0.07458689878694713,7.674379449486883,-16.218703497052044,0.24050099459307933,32.119670226979096,"kr3014306"
"Sang-kwon Byeon 변상권","Heroes (KBO)",23,65,0.01538462,0.30769231,0.05,0.26984127,0.27692308,0.3968254,0.67374848,0.12698413,1.723739517857143,0.37209302,-0.0039941074792295694,5.915348871148764,-2.617895038329424,0.29870816377493054,69.32122102566842,"kr3014307"
"Tae-hyeong Noh 노태형","Eagles (KBO)",25,113,0.0619469,0.27433628,0.22580645,0.21568627,0.28571429,0.2745098,0.56022409,0.05882353,4.871256179691361,0.30985915,-0.47159132413798943,7.43349425212877,-7.401222082810233,0.2686475286526339,50.10877245169336,"kr3014310"
"Han-min Jo 조한민","Eagles (KBO)",19,52,0,0.42307692,0,0.22,0.25,0.3,0.55,0.08,2.642857142857143,0.39285714,-0.002995580609422177,2.775730897624805,-4.050864229957745,0.25386442244052887,40.660546667101876,"kr3014314"
"Seong Ho Cheon 천성호","Wiz (KBO)",22,77,0.09090909,0.19480519,0.46666667,0.20289855,0.28571429,0.24637681,0.5320911,0.04347826,3.633351827183776,0.25925926,-0.2689285828382708,4.547488905983843,-5.561123109859548,0.26063265970775057,44.98628396120545,"kr3014323"
"Chan Yeol Yang 양찬열","Bears (KBO)",23,26,0.11538462,0.07692308,1.5,0.22727273,0.34615385,0.22727273,0.57342658,0,2.642857142857143,0.25,-0.002995580609422177,2.272133635959937,-1.141163927831338,0.2943989657438718,66.56711269662041,"kr3014326"
"Min-seok Kwon 권민석","Bears (KBO)",21,57,0.05263158,0.26315789,0.2,0.26,0.29090909,0.3,0.59090909,0.04,4.532113294103742,0.35135135,0.19534021092113107,3.970288131949215,-3.5127103732855036,0.27326115694912995,53.05744921867627,"kr3014327"
"In Ho Choi 최인호","Eagles (KBO)",20,135,0.02962963,0.25185185,0.11764706,0.23622047,0.26119403,0.23622047,0.4974145,0,0.9884453928571431,0.31578947,-0.01164948014775291,5.188531845915796,-12.534359350692748,0.23605147182051814,29.2758771035545,"kr3014330"
"Jung Hyun Park 박정현","Eagles (KBO)",18,64,0.046875,0.265625,0.17647059,0.27868852,0.3125,0.37704918,0.68954918,0.09836066,1.162593955357143,0.37209302,-0.005325476638972759,6.724387702846018,-1.6775755311017362,0.3154691085219383,80.03352925512019,"kr3014331"
"Ho-eun Kim 김호은","Twins (KBO)",28,112,0.0625,0.125,0.5,0.24271845,0.30357143,0.34951456,0.65308599,0.10679611,1.601190455357143,0.26436782,-0.008986741828266531,10.609520766915198,-4.0939148924933715,0.3031447503183569,72.15674630525064,"kr3014335"
"Su-hwan Kim 김수환","Heroes (KBO)",22,12,0.08333333,0.41666667,0.2,0.18181818,0.25,0.27272727,0.52272727,0.09090909,1.601190455357143,0.33333333,-0.0006656845798715949,0.5686302253789632,-1.0067378809862406,0.24672107895215353,36.095070293821394,"kr3014337"
